"date","close","volume","open","high","low"
"2018/07/30","115.6500","4148626.0000","115.8000","116.0200","115.6400"
"2018/07/27","115.8300","5241979.0000","115.9200","116.2399","115.7700"
"2018/07/26","115.7700","6351544.0000","116.2400","116.5100","115.7700"
"2018/07/25","116.6800","5478155.0000","116.7900","116.8366","116.2700"
"2018/07/24","116.0400","4799896.0000","116.2200","116.4300","115.9100"
"2018/07/23","116.0000","6246198.0000","116.2500","116.3100","115.7600"
"2018/07/20","116.5600","7844184.0000","116.4000","116.7100","116.2400"
"2018/07/19","115.8100","14223860.0000","115.1300","116.4700","115.1200"
"2018/07/18","116.3100","5391843.0000","116.0300","116.3500","115.8300"
"2018/07/17","116.2800","7934651.0000","116.7200","116.9250","116.1200"
"2018/07/16","117.5500","3670726.0000","117.5100","117.6250","117.2800"
"2018/07/13","117.6100","5444104.0000","117.6200","117.7500","117.4465"
"2018/07/12","118.1300","4585254.0000","118.0000","118.2638","117.9400"
"2018/07/11","117.6400","6974301.0000","118.4500","118.5300","117.6200"
"2018/07/10","118.9300","3752515.0000","118.8900","119.0000","118.6100"
"2018/07/09","119.1500","4074872.0000","119.6500","119.7300","119.1400"
"2018/07/06","118.8600","2946936.0000","118.9700","119.0300","118.7310"
"2018/07/05","119.0500","4949561.0000","118.9200","119.3300","118.7700"
"2018/07/03","118.6500","8900973.0000","118.4100","119.0800","118.3800"
"2018/07/02","117.4600","12021850.0000","118.1800","118.2100","117.4000"
"2018/06/29","118.6500","8001973.0000","118.4300","118.9400","118.2600"
"2018/06/28","118.2200","7760334.0000","118.5900","118.6700","118.0100"
"2018/06/27","118.5800","6479664.0000","118.9600","119.0500","118.4800"
"2018/06/26","119.2600","8674531.0000","119.2800","119.5900","119.0900"
"2018/06/25","119.8900","9300076.0000","120.0000","120.2300","119.8299"
"2018/06/22","120.3400","4516984.0000","120.2100","120.4000","120.1000"
"2018/06/21","120.0500","5646896.0000","119.9200","120.3200","119.8210"
"2018/06/20","120.2600","4547845.0000","120.7900","120.8100","120.1600"
"2018/06/19","120.8000","4898232.0000","120.8100","121.0300","120.5810"
"2018/06/18","121.1100","3845620.0000","121.3500","121.4400","120.9900"
"2018/06/15","121.3400","14536290.0000","122.1800","122.2000","120.8300"
"2018/06/14","123.3800","8014804.0000","123.6300","123.8600","123.3200"
"2018/06/13","123.1900","5866341.0000","122.8400","123.3400","122.4700"
"2018/06/12","122.8200","7279391.0000","122.9500","123.1800","122.6400"
"2018/06/11","123.2300","3200837.0000","123.1000","123.4200","123.0175"
"2018/06/08","123.0100","3864264.0000","123.0800","123.1200","122.9100"
"2018/06/07","122.8600","3699770.0000","122.9600","123.1450","122.6900"
"2018/06/06","122.9200","4047264.0000","123.0800","123.3500","122.6300"
"2018/06/05","122.8500","6861890.0000","122.5500","123.2257","122.2810"
"2018/06/04","122.3700","4344475.0000","122.8500","122.9300","122.3700"
"2018/06/01","122.4900","8057866.0000","122.5800","123.0900","122.4400"
"2018/05/31","123.1000","7861393.0000","123.2600","123.7800","123.1000"
"2018/05/30","123.3700","4546597.0000","123.1700","123.6100","123.1700"
"2018/05/29","123.1900","9013130.0000","122.8400","123.6400","122.6600"
"2018/05/25","123.2100","7920625.0000","123.6600","123.7000","123.2100"
"2018/05/24","123.5900","8844714.0000","123.1000","123.8200","123.0800"
"2018/05/23","122.5400","7001246.0000","122.1400","122.7400","122.1100"
"2018/05/22","122.4100","4578593.0000","122.7000","122.7400","122.3400"
"2018/05/21","122.4800","4125573.0000","122.1600","122.5300","121.9700"
"2018/05/18","122.4100","6834725.0000","122.0500","122.6500","122.0100"
"2018/05/17","122.3600","7779669.0000","122.2300","122.4300","122.0400"
"2018/05/16","122.2900","4941921.0000","122.3800","122.6100","122.0300"
"2018/05/15","122.4800","10908460.0000","122.8200","122.8200","122.1300"
"2018/05/14","124.4900","3753222.0000","125.1600","125.2100","124.4400"
"2018/05/11","125.0000","4298788.0000","125.5700","125.5900","124.9400"
"2018/05/10","125.1800","5218281.0000","125.2200","125.3724","124.7500"
"2018/05/09","124.3300","4405326.0000","124.4500","124.8700","124.2400"
"2018/05/08","124.5900","5547673.0000","124.1400","124.9500","123.7900"
"2018/05/07","124.5700","3396200.0000","124.5000","124.7000","124.3000"
"2018/05/04","124.5400","5883532.0000","124.1000","124.6500","124.0000"
"2018/05/03","124.2800","4855448.0000","124.6600","124.7600","124.2400"
"2018/05/02","123.6500","7607823.0000","123.9000","124.5400","123.5800"
"2018/05/01","123.7100","7544716.0000","123.9000","123.9848","123.3900"
"2018/04/30","124.5900","9829412.0000","124.4100","125.2000","124.1901"
"2018/04/27","125.5000","5653946.0000","125.2000","125.6200","125.1700"
"2018/04/26","124.9700","7515366.0000","125.5400","125.5700","124.6900"
"2018/04/25","125.4100","5981174.0000","125.2300","125.5100","125.0600"
"2018/04/24","126.2300","4732804.0000","125.7800","126.3400","125.6700"
"2018/04/23","125.6200","6890688.0000","125.6200","125.7600","125.3412"
"2018/04/20","126.6300","10403030.0000","126.6900","126.9700","126.5500"
"2018/04/19","127.6000","8695071.0000","127.8100","127.8839","127.1300"
"2018/04/18","127.8500","6752580.0000","128.3200","128.5400","127.7510"
"2018/04/17","127.7500","4177933.0000","127.0200","127.7800","127.0010"
"2018/04/16","127.6300","4599588.0000","127.7400","128.0500","127.5700"
"2018/04/13","127.4500","6815419.0000","127.0700","127.7500","127.0300"
"2018/04/12","126.6200","8128175.0000","127.2500","127.3400","126.4700"
"2018/04/11","128.1100","12337790.0000","128.0900","129.4700","127.7800"
"2018/04/10","127.1200","5396062.0000","127.0200","127.3050","126.6700"
